Compte,lev,Type
thomas-crane,25.0,Human
tianxiaoliang,100.0,Human
mfherbst,100.0,Human
dmitrizzle,100.0,Human
tadashi-aikawa,100.0,Human
KyleAMathews,100.0,Human
glennsl,100.0,Human
shahidhk,100.0,Human
abz53378,100.0,Human
terrycain,20.0,Human
sonofmun,13.0,Human
PonteIneptique,9.0,Human
jone,14.0,Human
jayands,26.0,Human
themasch,26.0,Human
Songmu,12.0,Human
leonsenft,100.0,Human
nomiddlename,31.0,Human
1991wangliang,100.0,Human
CarstenHollmann,37.0,Human
kumakichi,100.0,Human
davidgoli,100.0,Human
arolson101,10.0,Human
9seconds,100.0,Human
anthonychu,100.0,Human
dannyvankooten,31.0,Human
phax,100.0,Human
vasturiano,100.0,Human
archerzz,21.0,Human
themyth92,6.0,Human
sdboyer,17.0,Human
theckman,63.5,Human
kevinburke,22.0,Human
codingjoe,100.0,Human
adhatama,100.0,Human
leo,100.0,Human
zibs,13.0,Human
alexfernandez,19.0,Human
aichholzer,9.0,Human
chamerling,100.0,Human
javabrett,11.5,Human
probablyup,100.0,Human
YOUR-WORST-TACO,100.0,Human
deviantfero,100.0,Human
leemannd,100.0,Human
AlCalzone,100.0,Human
ranjith-sg,21.0,Human
astirpe,100.0,Human
mariomka,100.0,Human
lukasgraf,9.5,Human
mar10,100.0,Human
benbrown,100.0,Human
elazarl,15.0,Human
jmartin82,100.0,Human
julianschiavo,100.0,Human
jcampbell05,100.0,Human
AvdLee,26.0,Human
Boris-Em,15.0,Human
martinpaljak,100.0,Human
itkovian,100.0,Human
StefH,100.0,Human
neargle,100.0,Human
adamwaite,0.0,Human
serathius,2.0,Human
akosyakov,98.0,Human
svenefftinge,33.0,Human
YosuaHamonangan,100.0,Human
obiot,25.0,Human
Loque-,100.0,Human
Lukas0907,100.0,Human
foxbenjaminfox,100.0,Human
hubo1016,38.0,Human
opichals,16.0,Human
3lvis,100.0,Human
benborla,100.0,Human
mgravell,15.0,Human
NickCraver,26.0,Human
zachborboa,100.0,Human
zxol,100.0,Human
NetanelBasal,24.0,Human
madskristensen,100.0,Human
AlanSl,30.0,Human
SimonVT,100.0,Human
zombieJ,100.0,Human
VeaaC,25.0,Human
boxdot,22.0,Human
emilianodellacasa,100.0,Human
yegor256,100.0,Human
Praveengostu,100.0,Human
bboreham,26.0,Human
abataub,40.0,Human
lckr,37.0,Human
fpoli,100.0,Human
etingof,22.0,Human
arnaudroger,100.0,Human
c3dr0x,100.0,Human
Gerrit0,100.0,Human
nicolas-grekas,100.0,Human
Tobion,13.5,Human
fabpot,20.0,Human
leth,14.0,Human
